,season,episode,title,speaker,line,category
184,2,15,Boys & Girls,Jan,I think you should all spend a little more time thinking about your careers and less time on personal stuff.,Interpersonal
185,2,15,Boys & Girls,Angela,"At least you don't have kids. You have no kids, right? Thank God.",Personal
186,2,15,Boys & Girls,Jan,Okay. Let's take five. I think we can all use five.,Interpersonal
187,2,15,Boys & Girls,Jan,Did you take care of the situation?,Logistics
188,2,15,Boys & Girls,Jan,"Excuse me. I've been told there's been some interest in forming a Union and that Michael supported it. Obviously he's not a friend of yours because he didn't tell you the facts. So let me. If there is even a whiff of unionizing in this branch, I can guarantee you the branch will be shut down like that . They unionized in Pittsfield and we all know what happened in Pittsfield. It will cost each of you a fortune in legal fees and union dues and that will be nothing compared to the cost of losing your jobs. So I would think long and hard before sacrificing your savings and your futures just to send a message. If you have any further questions you can direct them to... to Michael.",HR
189,2,16,Valentine's Day,Oscar,"The best present would be, you do a good job in front of the new CFO.",HR
190,2,16,Valentine's Day,Angela,I didn't get anything for Valentine's Day.,Personal
191,2,16,Valentine's Day,Jan,"Josh Porter, Stamford.",Logistics
192,2,16,Valentine's Day,Jan,"And Michael Scott, Scranton.",Logistics
193,2,16,Valentine's Day,Jan,"Nervous, no I'm not nervous. Well, I guess I'd be lying if I didn't say I was a little nervous. Umm, the new CFO is judging me on this too, and well, it is Michael, so. Yeah, I'm very nervous.",Logistics
194,2,16,Valentine's Day,Angela,Nothing for me?,Opinions
195,2,16,Valentine's Day,Jan,"Um, I'm sorry, what did you think financial presentation meant?",Logistics
196,2,16,Valentine's Day,Jan,"Craig, you realize that we're trying to decide whether if drastic steps need to be taken?",Logistics
197,2,16,Valentine's Day,Jan,"Well, the point is, is that doesn't exactly bode well for your branch.",Logistics
198,2,16,Valentine's Day,Jan,"NO, NO I'm not, I'm not, I just... I just don't know what to do anymore, Michael. I mean, we're all gonna get fired.",HR
199,2,16,Valentine's Day,Jan,"Yeah, Michael - the CFO thinks that we slept together. Do you understand, people get fired for much less? And I just  can't believe that you told everybody and we didn't even sleep together.",HR
200,2,16,Valentine's Day,Jan,"Oh, God. Michael. It was months ago. It was once, It's over. Do you understand?",Interpersonal
201,2,16,Valentine's Day,Jan,"Surely, you cannot be serious?",Interpersonal
202,2,17,Dwight's Speech,Oscar,"I get here early every morning so I can set the thermostat. I like it a little cooler, around 66 degrees. I'm more productive. Maybe some people don't like it as cold as I do, but I don't care.",Logistics
203,2,17,Dwight's Speech,Angela,Are we out of jobs?,HR
204,2,18,Take Your Daughter to Work Day,Angela,"You know, I never misbehaved in front of my father because he was a very strict disciplinarian. I can only hope my mate has some of those same qualities .",Personal
